,city,region,federal_district,population_new
0,Абаза,Хакасия,Сибирский,12272
1,Абакан,Хакасия,Сибирский,184769
2,Абдулино,Оренбургская область,Приволжский,17274
3,Абинск,Краснодарский край,Южный,39511
4,Агидель,Башкортостан,Приволжский,14219
5,Агрыз,Татарстан,Приволжский,19991
6,Адыгейск,Адыгея,Южный,13175
7,Азнакаево,Татарстан,Приволжский,34750
8,Азов,Ростовская область,Южный,81924
9,Ак-Довурак,Тыва,Сибирский,12456
10,Аксай,Ростовская область,Южный,48372
11,Алагир,Северная Осетия,Северо-Кавказский,21550
12,Алапаевск,Свердловская область,Уральский,36189
13,Алатырь,Чувашия,Приволжский,32265
14,Алдан,Якутия,Дальневосточный,21590
15,Алейск,Алтайский край,Сибирский,25380
16,Александров,Владимирская область,Центральный,57053
17,Александровск,Пермский край,Приволжский,10780
18,Александровск-Сахалинский,Сахалинская область,Дальневосточный,8854
19,Алексеевка,Белгородская область,Центральный,36578
20,Алексин,Тульская область,Центральный,60842
21,Алзамай,Иркутская область,Сибирский,5373
22,Алупкане призн.,Крым,Южный,9063
23,Алуштане призн.,Крым,Южный,31364
24,Альметьевск,Татарстан,Приволжский,163512
25,Амурск,Хабаровский край,Дальневосточный,38606
26,Анадырь,Чукотский АО,Дальневосточный,13202
27,Анапа,Краснодарский край,Южный,81863
28,Ангарск,Иркутская область,Сибирский,221296
29,Андреаполь,Тверская область,Центральный,6956
30,Анжеро-Судженск,Кемеровская область,Сибирский,66583
31,Анива,Сахалинская область,Дальневосточный,9638
32,Апатиты,Мурманская область,Северо-Западный,49647
33,Апрелевка,Московская область,Центральный,35514
34,Апшеронск,Краснодарский край,Южный,40289
35,Арамиль,Свердловская область,Уральский,19013
36,Аргун,Чечня,Северо-Кавказский,41622
37,Ардатов,Мордовия,Приволжский,8857
38,Ардон,Северная Осетия,Северо-Кавказский,18956
39,Арзамас,Нижегородская область,Приволжский,104908
40,Аркадак,Саратовская область,Приволжский,10990
41,Армавир,Краснодарский край,Южный,187177
42,Армянскне призн.,Крым,Южный,20692
43,Арсеньев,Приморский край,Дальневосточный,47937
44,Арск,Татарстан,Приволжский,20421
45,Артём,Приморский край,Дальневосточный,109556
46,Артёмовск,Красноярский край,Сибирский,1510
47,Артёмовский,Свердловская область,Уральский,28943
48,Архангельск,Архангельская область,Северо-Западный,301199
49,Асбест,Свердловская область,Уральский,57317
50,Асино,Томская область,Сибирский,24913
51,Астрахань,Астраханская область,Южный,475629
52,Аткарск,Саратовская область,Приволжский,22709
53,Ахтубинск,Астраханская область,Южный,35635
54,Ачинск,Красноярский край,Сибирский,100621
55,Ачхой-Мартан,Чечня,Северо-Кавказский,30739
56,Аша,Челябинская область,Уральский,27890
57,Бабаево,Вологодская область,Северо-Западный,11739
58,Бабушкин,Бурятия,Сибирский,4368
59,Бавлы,Татарстан,Приволжский,21628
60,Багратионовск,Калининградская область,Северо-Западный,6417
61,Байкальск,Иркутская область,Сибирский,13199
62,Баймак,Башкортостан,Приволжский,17833
63,Бакал,Челябинская область,Уральский,16345
64,Баксан,Кабардино-Балкария,Северо-Кавказский,39593
65,Балабаново,Калужская область,Центральный,29029
1118,Балаклаване призн.,Севастополь,Южный,35
66,Балаково,Саратовская область,Приволжский,184466
67,Балахна,Нижегородская область,Приволжский,48569
68,Балашиха,Московская область,Центральный,520962
69,Балашов,Саратовская область,Приволжский,74057
70,Балей,Забайкальский край,Сибирский,10286
71,Балтийск,Калининградская область,Северо-Западный,26796
72,Барабинск,Новосибирская область,Сибирский,27648
73,Барнаул,Алтайский край,Сибирский,630877
74,Барыш,Ульяновская область,Приволжский,14924
75,Батайск,Ростовская область,Южный,126988
76,Бахчисарайне призн.,Крым,Южный,28609
77,Бежецк,Тверская область,Центральный,21466
78,Белая Калитва,Ростовская область,Южный,40448
79,Белая Холуница,Кировская область,Приволжский,9659
80,Белгород,Белгородская область,Центральный,339978
81,Белебей,Башкортостан,Приволжский,59195
83,Белинский,Пензенская область,Приволжский,8656
84,Белово,Кемеровская область,Сибирский,68542
85,Белогорск,Амурская область,Дальневосточный,61440
86,Белогорскне призн.,Крым,Южный,17445
87,Белозерск,Вологодская область,Северо-Западный,8375
88,Белокуриха,Алтайский край,Сибирский,14735
89,Беломорск,Карелия,Северо-Западный,7708
90,Белоозёрский,Московская область,Центральный,13737
91,Белорецк,Башкортостан,Приволжский,64525
92,Белореченск,Краснодарский край,Южный,55870
93,Белоусово,Калужская область,Центральный,10946
94,Белоярский,Ханты-Мансийский АО,Уральский,19994
95,Белый,Тверская область,Центральный,3125
82,Белёв,Тульская область,Центральный,12846
96,Бердск,Новосибирская область,Сибирский,102850
97,Березники,Пермский край,Приволжский,138069
98,Берёзовский,Кемеровская область,Сибирский,44932
99,Берёзовский,Свердловская область,Уральский,59698
100,Беслан,Северная Осетия,Северо-Кавказский,35929
101,Бийск,Алтайский край,Сибирский,183852
102,Бикин,Хабаровский край,Дальневосточный,16240
103,Билибино,Чукотский АО,Дальневосточный,5546
104,Биробиджан,Еврейская АО,Дальневосточный,70064
105,Бирск,Башкортостан,Приволжский,44295
106,Бирюсинск,Иркутская область,Сибирский,8632
107,Бирюч,Белгородская область,Центральный,7114
108,Благовещенск,Башкортостан,Приволжский,35481
